iter	Passed	Remaining
413	3325	4706
414	3331	4695
415	3337	4685
416	3344	4675
417	3350	4664
418	3356	4654
419	3362	4643
420	3368	4632
421	3374	4622
422	3380	4611
423	3386	4600
424	3393	4590
425	3399	4580
426	3406	4570
427	3412	4561
428	3421	4554
429	3428	4545
430	3436	4536
431	3444	4528
432	3452	4520
433	3459	4512
434	3467	4503
435	3475	4495
436	3482	4486
437	3490	4478
438	3497	4469
439	3504	4460
440	3511	4451
441	3518	4442
442	3525	4432
443	3532	4423
444	3539	4414
445	3546	4405
446	3553	4395
447	3559	4386
448	3565	4375
449	3572	4366
450	3578	4356
451	3586	4347
452	3593	4338
453	3600	4330
454	3607	4321
455	3614	4311
456	3621	4302
457	3628	4293
458	3635	4284
459	3641	4275
460	3648	4265
461	3655	4256
462	3662	4248
463	3670	4239
464	3677	4230
465	3689	4227
466	3696	4219
467	3703	4209
468	3709	4199
469	3715	4190
470	3721	4179
471	3727	4169
472	3733	4160
473	3739	4150
474	3746	4140
475	3752	4130
476	3758	4120
477	3764	4110
478	3770	4100
479	3775	4090
480	3781	4080
481	3787	4070
482	3794	4061
483	3800	4051
484	3806	4041
485	3812	4032
486	3818	4022
487	3824	4012
488	3830	4002
489	3836	3993
490	3842	3983
491	3849	3974
492	3856	3965
493	3864	3958
494	3871	3949
495	3878	3941
496	3885	3932
497	3892	3923
498	3900	3916
499	3907	3907
500	3915	3899
501	3921	3890
502	3928	3881
503	3934	3871
504	3940	3862
505	3946	3852
506	3951	3842
507	3957	3833
508	3963	3823
509	3969	3814
510	3976	3804
511	3981	3795
512	3987	3785
513	3993	3776
514	3999	3766
515	4005	3756
516	4011	3747
517	4018	3738
518	4023	3729
519	4029	3719
520	4036	3710
521	4042	3701
522	4048	3692
523	4053	3682
524	4059	3672
525	4065	3663
526	4070	3653
527	4076	3644
528	4081	3634
529	4087	3624
530	4093	3615
531	4099	3606
532	4105	3597
533	4112	3588
534	4117	3578
535	4123	3569
536	4129	3560
537	4135	3550
538	4140	3541
539	4146	3532
540	4152	3522
541	4158	3513
542	4164	3504
543	4169	3495
544	4175	3486
545	4181	3476
546	4186	3467
547	4192	3458
548	4199	3449
549	4205	3440
550	4211	3431
551	4216	3422
552	4223	3413
553	4229	3404
554	4235	3396
555	4242	3387
556	4248	3378
557	4253	3369
558	4259	3360
559	4265	3351
560	4271	3342
561	4276	3333
562	4282	3324
563	4288	3315
564	4296	3307
565	4305	3301
566	4312	3293
567	4318	3284
568	4324	3275
569	4330	3267
570	4336	3258
571	4343	3249
572	4349	3240
573	4355	3232
574	4360	3223
575	4366	3214
576	4372	3205
577	4378	3196
578	4384	3188
579	4392	3180
580	4400	3173
581	4408	3166
582	4416	3158
583	4423	3151
584	4431	3143
585	4438	3135
586	4446	3128
587	4453	3120
588	4460	3112
589	4468	3105
590	4475	3097
591	4483	3089
592	4490	3082
593	4498	3074
594	4505	3067
595	4513	3059
596	4521	3052
597	4528	3044
598	4536	3036
599	4542	3028
600	4549	3020
601	4556	3012
602	4562	3004
603	4569	2996
604	4575	2987
605	4581	2978
606	4588	2970
607	4593	2961
608	4600	2953
609	4605	2944
610	4611	2935
611	4616	2927
612	4622	2918
613	4627	2909
614	4633	2900
615	4638	2891
616	4643	2882
617	4650	2874
618	4655	2865
619	4661	2856
620	4666	2848
621	4672	2839
622	4678	2831
623	4684	2822
624	4690	2814
625	4696	2806
626	4703	2797
627	4709	2789
628	4715	2781
629	4720	2772
630	4725	2763
631	4731	2755
632	4736	2746
633	4742	2738
634	4749	2729
635	4754	2721
636	4760	2712
637	4765	2704
638	4771	2695
639	4778	2688
640	4785	2679
641	4790	2671
642	4796	2663
643	4802	2654
644	4807	2646
645	4813	2637
646	4819	2629
647	4824	2620
648	4830	2612
649	4836	2604
650	4841	2595
651	4848	2587
652	4853	2579
653	4859	2570
654	4866	2563
655	4873	2555
656	4880	2547
657	4886	2539
658	4892	2531
659	4899	2523
660	4904	2515
661	4911	2507
662	4917	2499
663	4924	2491
664	4931	2484
665	4937	2476
666	4943	2467
667	4948	2459
668	4953	2450
669	4960	2443
670	4965	2434
671	4971	2426
672	5006	2432
673	5018	2427
674	5030	2421
675	5037	2414
676	5043	2406
677	5048	2397
678	5053	2389
679	5059	2381
680	5065	2372
681	5071	2364
682	5076	2356
683	5081	2347
684	5086	2338
685	5091	2330
686	5096	2321
687	5102	2313
688	5107	2305
689	5112	2297
690	5119	2289
691	5126	2281
692	5132	2273
693	5138	2265
694	5144	2257
695	5150	2249
696	5155	2241
697	5161	2233
698	5167	2225
699	5173	2217
700	5179	2209
701	5186	2201
702	5192	2193
703	5197	2185
704	5202	2177
705	5208	2169
706	5214	2160
707	5219	2152
708	5225	2144
709	5230	2136
710	5236	2128
711	5241	2120
712	5246	2111
713	5251	2103
714	5257	2095
715	5262	2087
716	5268	2079
717	5274	2071
718	5279	2063
719	5285	2055
720	5290	2047
721	5295	2039
722	5301	2031
723	5307	2023
724	5312	2015
725	5318	2007
726	5324	1999
727	5330	1991
728	5336	1983
729	5342	1975
730	5347	1967
731	5353	1959
732	5358	1951
733	5365	1944
734	5372	1937
735	5380	1929
736	5386	1922
737	5392	1914
738	5399	1907
739	5406	1899
740	5412	1891
741	5419	1884
742	5425	1876
743	5432	1869
744	5439	1861
745	5446	1854
746	5452	1846
747	5459	1839
748	5466	1832
749	5473	1824
750	5480	1817
751	5487	1809
752	5493	1801
753	5499	1794
754	5505	1786
755	5511	1778
756	5518	1771
757	5524	1763
758	5530	1755
759	5536	1748
760	5542	1740
761	5548	1732
762	5553	1724
763	5559	1717
764	5565	1709
765	5571	1701
766	5576	1694
767	5582	1686
768	5588	1678
769	5594	1670
770	5599	1663
771	5605	1655
772	5611	1647
773	5617	1640
774	5623	1632
775	5629	1625
776	5635	1617
777	5641	1609
778	5647	1602
779	5653	1594
780	5660	1587
781	5666	1579
782	5671	1571
783	5677	1564
784	5683	1556
785	5688	1548
786	5694	1541
787	5700	1533
788	5706	1525
789	5712	1518
790	5718	1511
791	5724	1503
792	5731	1496
793	5737	1488
794	5743	1481
795	5749	1473
796	5755	1465
797	5762	1458
798	5768	1451
799	5774	1443
800	5780	1436
801	5785	1428
802	5791	1420
803	5797	1413
804	5803	1405
805	5809	1398
806	5815	1390
807	5820	1383
808	5827	1375
809	5833	1368
810	5839	1360
811	5846	1353
812	5852	1346
813	5860	1339
814	5867	1331
815	5875	1324
816	5882	1317
817	5889	1310
818	5896	1303
819	5903	1295
820	5910	1288
821	5916	1281
822	5924	1274
823	5931	1266
824	5938	1259
825	5944	1252
826	5951	1245
827	5958	1237
828	5965	1230
829	5972	1223
830	5978	1215
831	5985	1208
832	5991	1201
833	5997	1193
834	6003	1186
835	6010	1179
836	6016	1171
837	6022	1164
838	6028	1156
839	6034	1149
840	6040	1141
841	6047	1134
842	6053	1127
843	6061	1120
844	6068	1113
845	6075	1105
846	6081	1098
847	6088	1091
848	6095	1084
849	6102	1076
850	6109	1069
851	6116	1062
852	6123	1055
853	6129	1047
854	6137	1040
855	6144	1033
856	6151	1026
857	6158	1019
858	6166	1012
859	6172	1004
860	6179	997
861	6186	990
862	6193	983
863	6201	976
864	6207	968
865	6214	961
866	6220	954
867	6226	946
868	6232	939
869	6238	932
870	6244	924
871	6249	917
872	6255	910
873	6261	902
874	6267	895
875	6273	888
876	6279	880
877	6285	873
878	6290	865
879	6295	858
880	6301	851
881	6307	843
882	6313	836
883	6319	829
884	6325	821
885	6331	814
886	6337	807
887	6342	799
888	6348	792
889	6355	785
890	6362	778
891	6370	771
892	6378	764
893	6386	757
894	6393	750
895	6401	743
896	6409	736
897	6417	728
898	6425	721
899	6433	714
900	6440	707
901	6448	700
902	6457	693
903	6466	686
904	6473	679
905	6480	672
906	6488	665
907	6496	658
908	6504	651
909	6512	644
910	6520	636
911	6527	629
912	6535	622
913	6543	615
914	6550	608
915	6558	601
916	6566	594
917	6573	587
918	6581	580
919	6589	572
920	6596	565
921	6603	558
922	6611	551
923	6618	544
924	6626	537
925	6633	530
926	6640	522
927	6648	515
928	6655	508
929	6662	501
930	6669	494
931	6677	487
932	6685	480
933	6693	472
934	6699	465
935	6706	458
936	6713	451
937	6720	444
938	6728	437
939	6734	429
940	6742	422
941	6750	415
942	6758	408
943	6765	401
944	6773	394
945	6781	387
946	6789	379
947	6796	372
948	6803	365
949	6811	358
950	6818	351
951	6826	344
952	6834	337
953	6842	329
954	6849	322
955	6858	315
956	6866	308
957	6874	301
958	6881	294
959	6888	287
960	6896	279
961	6904	272
962	6911	265
963	6918	258
964	6926	251
965	6935	244
966	6943	236
967	6951	229
968	6959	222
969	6966	215
970	6974	208
971	6982	201
972	6990	193
973	6998	186
974	7006	179
975	7013	172
976	7021	165
977	7028	158
978	7036	150
979	7043	143
980	7051	136
981	7059	129
982	7067	122
983	7074	115
984	7082	107
985	7090	100
986	7098	93
987	7106	86
988	7113	79
989	7121	71
990	7128	64
991	7136	57
992	7143	50
993	7151	43
994	7158	35
995	7166	28
996	7174	21
997	7182	14
998	7190	7
999	7198	0
