iter	Logloss
0	0.6810911687
1	0.6693356239
2	0.6580384863
3	0.6476211666
4	0.6368993442
5	0.6278497773
6	0.6193648161
7	0.6083050113
8	0.6008368003
9	0.5941062137
10	0.5871925464
11	0.5782131197
12	0.5723380606
13	0.5668783601
14	0.5612098498
15	0.5558128744
16	0.551251752
17	0.5468061355
18	0.5426279095
19	0.5389906172
20	0.5346213938
21	0.5288190356
22	0.5251750417
23	0.520128007
24	0.516653542
25	0.5118555014
26	0.507508868
27	0.5029190122
28	0.4994512348
29	0.4968129085
30	0.4944626059
31	0.4921396114
32	0.4896717195
33	0.4872286474
34	0.4850384384
35	0.4828531367
36	0.4802729256
37	0.4770942571
38	0.4739982796
39	0.4705035999
40	0.4675261815
41	0.4653401528
42	0.4634901556
43	0.4612089812
44	0.4591712667
45	0.4575339871
46	0.4542515002
47	0.452334196
48	0.4506421697
49	0.4491088433
50	0.4476564862
51	0.4454266124
52	0.4431468704
53	0.4417074276
54	0.4404390811
55	0.4391840534
56	0.4372460972
57	0.4356448602
58	0.4344887621
59	0.4334258759
60	0.4322996442
61	0.4310903981
62	0.4292939831
63	0.4275914468
64	0.4264794326
65	0.4248426764
66	0.4237114678
67	0.4224175711
68	0.420081828
69	0.4186747822
70	0.4175594305
71	0.4151964192
72	0.4143289161
73	0.4121393889
74	0.4112685457
75	0.4092631466
76	0.4083945964
77	0.4070592904
78	0.406057062
79	0.4043469739
80	0.4033516904
81	0.4016057317
82	0.4003093813
83	0.3992239949
84	0.3984011254
85	0.3972167182
86	0.3965483913
87	0.3951282604
88	0.3942873976
89	0.3932191987
90	0.3924903214
91	0.3914639896
92	0.3902642318
93	0.3895812911
94	0.3883316239
95	0.3872636894
96	0.3862028816
97	0.385604255
98	0.3845756246
99	0.3839197238
100	0.3832055682
101	0.3825463129
102	0.3818017066
103	0.3811351225
104	0.3802110194
105	0.3795515759
106	0.3786517303
107	0.3777464572
108	0.3771100695
109	0.3763643364
110	0.3757682821
111	0.3751502265
112	0.374071316
113	0.3731947734
114	0.3721071217
115	0.3714164549
116	0.3708129394
117	0.3700143684
118	0.3694562216
119	0.368836206
120	0.3679502018
121	0.3675043514
122	0.3670065958
123	0.3662936531
124	0.3657757367
125	0.36540196
126	0.3649900251
127	0.3643944357
128	0.3638230515
129	0.3631531458
130	0.3623844239
131	0.3619055708
132	0.3612842593
133	0.3607268076
134	0.3603536636
135	0.3599328198
136	0.3592965604
137	0.3588084665
138	0.3582409034
139	0.3576536031
140	0.3570619879
141	0.3562515519
142	0.3557472567
143	0.3552421492
144	0.3547377659
145	0.3540270313
146	0.3534248943
147	0.3529780852
148	0.3524988135
149	0.3521395105
150	0.3515873203
151	0.3512786967
152	0.3509187358
153	0.3505229712
154	0.3499803069
155	0.3494684074
156	0.3487386787
157	0.3482357161
158	0.3477309236
159	0.3472504815
160	0.3466908044
161	0.3463147819
162	0.3458719984
163	0.3454997155
164	0.3445138786
165	0.3440237972
166	0.3435538378
167	0.3432782689
168	0.3427682813
169	0.3424498733
170	0.3420946169
171	0.3410060361
172	0.3406611784
173	0.3403118955
174	0.3398773113
175	0.3394882616
176	0.3391591901
177	0.3385141782
178	0.3382107114
179	0.3376360946
180	0.3371946001
181	0.3367565213
182	0.3363101532
183	0.3360340174
184	0.3356435685
185	0.3353261134
186	0.3349842709
187	0.3346510828
188	0.3341819595
189	0.3338722813
190	0.3335821422
191	0.3333036887
192	0.3330146433
193	0.3327395184
194	0.3323244593
195	0.3320585233
